,contrast,dissimilarity,homogeneity,ASM,energy,correlation,SRE,LRE,GLU,RLU,RPC,class
229,1095.1196992110454,12.134314903846155,0.7798687896593718,0.3808343926945417,0.6171178110333081,0.7170761719477008,1.677,5057.0,6481.76,21127.294,27.635,0
230,1050.1486301158775,11.960428994082841,0.7796425556193108,0.384021209294678,0.619694448332949,0.7107901210084413,1.646,5122.7,6593.664,20069.372,27.155,0
231,944.8855014176529,11.176574827416173,0.7866991619370699,0.3887678146236161,0.6235124815299339,0.7014824762814212,1.599,5445.102,6996.555,18046.16,25.637,0
232,912.3206900271205,10.79567307692308,0.7914063854162574,0.3880231374238976,0.6229150322667591,0.6802195897611583,1.587,5481.677,7041.21,17716.494,25.457,0
233,914.9226916913216,10.811575443786982,0.7925856900740009,0.38904453861095634,0.623734349391595,0.6728130770174311,1.588,5552.808,7111.525,17477.856,25.171,0
234,929.4184772559173,10.72235576923077,0.7975771386181769,0.3937874508073605,0.6275248607086101,0.6610481296738642,1.605,5757.549,7314.168,16973.806,24.458,0
235,921.5500030818541,10.577069464990137,0.8021189438563551,0.40206172974383847,0.6340833775962262,0.6533987215454043,1.587,5943.009,7459.825,16514.758,24.023,0
236,897.4938979289939,10.362888313609465,0.8049528638572898,0.4087026260669992,0.6392985422062208,0.6571435946834427,1.578,6150.703,7590.985,16207.355,23.641,0
237,834.8349744206115,9.549679487179485,0.8209213705369074,0.4218231152480685,0.6494791107095504,0.6620524364020464,1.548,7034.781,8412.049,14076.201,21.335,0
238,791.4119745438857,9.251756656804735,0.8234528176093724,0.4266281766806779,0.6531678013195981,0.6652644207224399,1.515,7501.177,8767.602,12925.949,20.482,0
239,772.2230106632151,9.201953895463511,0.8206338598962393,0.4273734729381992,0.653738076708248,0.664517496659711,1.492,7400.134,8614.082,12955.481,20.835,0
240,721.9360977564103,8.844166050295858,0.8244539470352015,0.4337969355389543,0.6586326256259664,0.663337148804525,1.465,7656.975,8750.833,12470.949,20.469,0
241,656.6789940828401,8.303793762327416,0.8328690620281863,0.44485772329741896,0.6669765537838785,0.6658165761707397,1.441,8432.669,9336.716,11486.365,19.218,0
242,601.1296304857002,7.935450567061144,0.8383961413145169,0.45923190549497084,0.6776665149577414,0.6733088154001299,1.405,9270.909,9968.857,10301.182,18.0,0
243,553.2745700813609,7.621425049309665,0.8416800149320954,0.47393737672524466,0.6884310980230662,0.676529280223858,1.368,9630.643,10087.461,10062.17,17.791,0
244,480.28839990138067,7.075189534023669,0.8487370341831084,0.492507747930644,0.7017889625312185,0.6806104368614975,1.297,10720.325,10871.684,8831.477,16.53,0
245,1279.2205143614397,13.102417714497042,0.7769023566361579,0.36694755975071564,0.6057619662464091,0.7458196913826546,1.745,4732.413,6434.631,22121.766,27.785,0
246,1270.0738720414204,13.116370808678504,0.775059397449005,0.3668175675477955,0.6056546603038695,0.7368917707627077,1.728,4813.865,6591.676,21266.618,27.149,0
247,1246.6616586538464,12.99233388806706,0.7753216668223845,0.36561900288672017,0.6046643720996965,0.7304944683602955,1.703,4704.788,6554.56,20925.956,27.303,0
248,1188.6235823471402,12.32036643244576,0.7846975861334475,0.3646676435240147,0.6038771758594745,0.7143040732023453,1.689,4837.567,6753.067,20020.772,26.495,0
249,1156.4103642751477,11.885285687869818,0.7937708576892903,0.37002594099625824,0.6082975760236582,0.7086889481260475,1.707,4940.764,6882.004,19802.753,25.946,0
250,1130.6586076183435,11.856763128698228,0.7908084769533951,0.3706502841302885,0.6088105486358532,0.702874318910489,1.678,4890.439,6795.319,19605.285,26.291,0
251,1131.2849559294873,11.674679487179487,0.794231937895185,0.3855871340112761,0.6209566281241196,0.6870156555829408,1.655,5059.795,6926.224,18675.852,25.755,0
252,1137.788638745069,11.752234344181456,0.7940884598094626,0.3928131439590201,0.6267480705666513,0.685610006103811,1.64,5275.651,7168.074,17606.439,24.889,0
253,1090.2617264546352,11.158322546844179,0.8049912660697646,0.40680689779224727,0.6378141561554175,0.6984561089086354,1.612,5756.336,7651.941,16031.35,23.34,0
254,1067.0437854413215,11.126140285996053,0.8016291354269113,0.4062033293384487,0.63734082666847,0.7006696111998805,1.573,5827.086,7714.895,15328.023,23.169,0
255,1012.8132473496053,10.899546967455619,0.8002272381677444,0.4020819463526878,0.6340993189971803,0.7159566615817775,1.54,6008.161,7843.853,14636.059,22.805,0
256,948.9595429610454,10.360623150887575,0.8081774671683921,0.39845532808411094,0.6312331804366045,0.7328426406318251,1.552,6145.607,7877.095,14895.492,22.696,0
257,884.9488951553255,9.921281743096648,0.8132018311381247,0.4039052623316348,0.6355354139083319,0.7388871265272995,1.534,6460.547,8120.819,14165.284,22.01,0
258,824.0496101454636,9.655048076923078,0.8141727053929466,0.41347170305541286,0.6430176537665299,0.7515631629108688,1.516,6713.471,8277.934,13691.751,21.584,0
